Month,Day,HourofDay,T_ctrl,T_stp_heat,T_out,RH_out,Humidity,fan,auxHeat1
1,1,0,70.0,70.0,41.5,95.5,37.0,200.0,960.0
1,1,1,70.0,70.0,42.0,94.0,37.0,182.5,1065.0
1,1,2,70.0,70.0,41.5,92.5,37.333333333333336,200.0,1575.0
1,1,3,70.0,70.0,38.5,89.5,37.0,200.0,1440.0
1,1,4,70.0,70.0,35.0,86.0,37.083333333333336,217.5,1680.0
1,1,5,70.0,70.0,34.5,85.0,37.083333333333336,196.25,1260.0
1,1,6,70.0,70.0,33.5,80.0,36.916666666666664,200.0,1230.0
1,1,7,70.0,70.0,33.5,77.0,36.833333333333336,200.0,1470.0
1,1,8,70.0,70.0,33.0,75.0,36.416666666666664,200.0,1800.0
1,1,9,70.0,70.0,31.5,74.0,36.166666666666664,210.0,1470.0
1,1,10,70.0,70.0,31.5,72.5,36.666666666666664,222.5,1200.0
1,1,11,70.0,70.0,29.5,72.5,36.75,202.5,735.0
1,1,12,70.0,70.0,30.0,72.0,37.333333333333336,185.0,1350.0
1,1,13,69.91666666666667,70.0,29.0,69.5,36.333333333333336,215.0,1080.0
1,1,14,70.0,70.0,29.0,65.5,35.416666666666664,200.0,960.0
1,1,15,70.5,70.0,28.0,66.5,34.416666666666664,187.5,630.0
1,1,16,70.0,70.0,27.0,67.0,32.75,203.75,1380.0
1,1,17,70.0,70.0,25.5,69.0,33.666666666666664,176.25,945.0
1,1,18,70.0,70.0,25.0,69.0,33.25,200.0,75.0
1,1,19,70.0,70.0,21.5,71.0,31.833333333333332,200.0,1530.0
1,1,20,70.0,70.0,20.0,75.5,31.083333333333332,182.5,1455.0
1,1,21,70.0,70.0,20.5,72.0,31.0,201.25,1050.0
1,1,22,70.0,70.0,20.0,72.5,30.416666666666668,195.0,1590.0
1,1,23,70.0,70.0,19.5,74.0,30.583333333333332,187.5,1935.0
1,2,0,70.0,70.0,20.5,69.5,30.5,200.0,2010.0
1,2,1,70.0,70.0,19.0,73.5,30.416666666666668,198.75,1935.0
1,2,2,70.0,70.0,20.0,73.5,30.916666666666668,200.0,2040.0
1,2,3,70.0,70.0,20.0,74.0,31.0,196.25,2070.0
1,2,4,70.0,70.0,19.0,74.0,31.0,201.25,2130.0
1,2,5,70.0,70.0,18.0,77.0,31.25,228.75,2130.0
1,2,6,69.91666666666667,70.0,17.5,77.0,31.25,191.25,2130.0
1,2,7,70.0,70.0,17.0,77.5,31.333333333333332,200.0,2115.0
1,2,8,69.83333333333333,70.0,18.0,75.5,31.333333333333332,243.75,2790.0
1,2,9,70.0,70.0,19.5,76.0,31.416666666666668,182.5,1545.0
1,2,10,70.0,70.0,20.0,75.0,32.083333333333336,217.5,1395.0
